zip_code,item_description,bottles_sold
50010,Member's Mark Spiced Rum,288
50022,Paramount Triple Sec,4
50111,Saints N Sinners Apple Pie,108
50131,Platinum 7x Vodka,48
50158,Kamora Coffee Liqueur,24
50263,Jagermeister w/2 Shot Glasses,84
50265,Kahlua Coffee,72
50266,Avion Silver w/Powell & Mahoney Margarita Mix,90
50314,Remy Martin VSOP,240
50316,Hennessy VS,48
50317,Paul Masson Peach Grande Amber Brandy,24
50320,Tortilla Gold Dss,120
50327,Bacardi Gold Rum PET,102
50401,Ole Smoky Salty Caramel Whiskey,48
50461,Five O'clock Vodka,30
50501,Titos Vodka,108
50588,Phillips Root Beer Schnapps,4
50662,Ole Smoky Apple Pie Moonshine 70prf Mini,8
50701,Dekuyper Triple Sec,7
50702,Tortilla Gold Dss,768
50703,Seagrams Extra Smooth,180
50707,Jameson,60
50801,Bacardi Gold Rum,5
51106,Kapali Coffee Liqueur,240
51246,Arrow Spearmint Schnapps,5
51247,Dekuyper Triple Sec,6
51360,Tortilla Gold Dss,48
51401,Paramount Sloe Gin,18
51501,Kahlua Coffee,48
51555,Paramount Gold Rum,2
52001,Kamora Coffee Liqueur,4
52003,Bacardi Gold Rum Mini,5
52136,Five O'clock Vodka,2
52172,Kahlua Coffee,1
52240,Templeton Rye,60
52241,Maestro Agavero Gold,48
52314,Juarez Gold Dss,1560
52338,Cedar Ridge Single Malt Single Barrel Select,90
52402,Paramount Gold Rum,216
52411,Everclear Alcohol,36
52556,Juarez Triple Sec,6
52601,Hennessy VS,48
52627,Kapali Coffee Liqueur,36
52732,Paramount Gold Rum,24
52761,Dekuyper Peachtree,4
52803,Everclear Alcohol,3
52804,Martell VSSD,2
